frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma
159;1.590000;9.353263e-01;2.052940e+02;3.576459e-01
160;1.600000;9.314103e-01;2.039681e+02;4.497743e-01
161;1.610000;9.190638e-01;2.026936e+02;5.111583e-01
162;1.620000;9.114934e-01;2.007324e+02;5.162144e-01
163;1.630000;8.858332e-01;1.997560e+02;5.007657e-01
164;1.640000;8.285159e-01;2.004534e+02;4.526567e-01
165;1.650000;7.112579e-01;1.973199e+02;3.905687e-01
166;1.660000;5.623858e-01;1.876609e+02;2.892278e-01
167;1.670000;4.890173e-01;1.200073e+02;1.897655e-01
168;1.680000;4.322173e-01;5.716108e+01;1.127218e-01
169;1.690000;5.156657e-01;0;9.229421e-02
170;1.700000;5.683858e-01;6.584363e+01;9.264404e-02
171;1.710000;6.182457e-01;1.322383e+02;1.233514e-01
172;1.720000;5.827566e-01;1.322383e+02;2.396619e-01
173;1.730000;5.581964e-01;6.639462e+01;3.666920e-01
174;1.740000;6.521363e-01;7.111111e+01;5.445378e-01
175;1.750000;7.642309e-01;1.423810e+02;5.582083e-01
176;1.760000;8.353175e-01;2.138095e+02;5.005939e-01
177;1.770000;7.953398e-01;2.138110e+02;2.654628e-01
178;1.780000;6.871752e-01;2.128738e+02;1.502795e-01
179;1.790000;5.372943e-01;2.110118e+02;1.390674e-01
180;1.800000;4.194964e-01;1.398993e+02;2.377121e-01
181;1.810000;3.641288e-01;6.956654e+01;3.583112e-01
182;1.820000;3.614714e-01;0;3.418559e-01
183;1.830000;3.588092e-01;0;2.773374e-01
184;1.840000;3.075398e-01;0;1.334272e-01
185;1.850000;2.616491e-01;0;7.440326e-02
186;1.860000;2.427190e-01;0;5.390397e-02
187;1.870000;2.774393e-01;0;6.436364e-02
188;1.880000;3.231868e-01;0;9.271242e-02
189;1.890000;3.559122e-01;0;1.257505e-01
190;1.900000;4.354901e-01;0;1.332595e-01
191;1.910000;5.923877e-01;7.017545e+01;1.592053e-01
192;1.920000;7.578777e-01;1.424725e+02;1.881258e-01
193;1.930000;8.554727e-01;2.137243e+02;2.269493e-01
194;1.940000;8.534673e-01;2.125259e+02;2.294335e-01
195;1.950000;7.976868e-01;2.100979e+02;2.606856e-01
196;1.960000;6.321599e-01;2.085632e+02;2.118964e-01
197;1.970000;4.464683e-01;1.395861e+02;1.537307e-01
198;1.980000;2.811258e-01;6.971711e+01;5.879764e-02
199;1.990000;2.245918e-01;0;4.085712e-02
200;2.000000;1.915644e-01;0;6.465785e-02
201;2.010000;1.821177e-01;0;8.338588e-02
202;2.020000;1.662716e-01;0;9.696305e-02
203;2.030000;1.714942e-01;0;1.180037e-01
204;2.040000;1.866901e-01;0;1.268999e-01
205;2.050000;2.169761e-01;0;1.132112e-01
206;2.060000;3.624097e-01;0;1.612199e-01
207;2.070000;5.607774e-01;7.881773e+01;1.532894e-01
208;2.080000;7.623737e-01;1.557853e+02;1.869404e-01
209;2.090000;8.123598e-01;2.300412e+02;1.557904e-01
210;2.100000;8.015664e-01;2.247871e+02;2.430571e-01
211;2.110000;8.059545e-01;2.184412e+02;2.991101e-01
212;2.120000;8.408324e-01;2.114133e+02;4.025252e-01
213;2.130000;8.369255e-01;2.039756e+02;4.236963e-01
214;2.140000;7.610947e-01;1.980070e+02;4.508111e-01
215;2.150000;7.213482e-01;1.954320e+02;3.911693e-01
216;2.160000;6.810155e-01;1.901282e+02;2.987490e-01
217;2.170000;6.135110e-01;1.804898e+02;2.990462e-01
218;2.180000;5.424501e-01;1.158367e+02;2.443024e-01
